manufacturer,nationality,kit_count,first_year,last_year,unique_years,span,regularity,has_enough_data,XYZ_Category
Evolution,Uzbek,1,2002,2002,1,1,1.0,False,Недостаточно данных
Fujimi,German,1,1992,1992,1,1,1.0,False,Недостаточно данных
GerMan,Austrian,1,2008,2008,1,1,1.0,False,Недостаточно данных
GerMan,Hungarian,1,2009,2009,1,1,1.0,False,Недостаточно данных
GerMan,Indian,1,2010,2010,1,1,1.0,False,Недостаточно данных
Gulliver,USA,1,1994,1994,1,1,1.0,False,Недостаточно данных
HYTTY,Algerian,1,2002,2002,1,1,1.0,False,Недостаточно данных
HYTTY,Greek,1,2002,2002,1,1,1.0,False,Недостаточно данных
HYTTY,Libyan,1,2002,2002,1,1,1.0,False,Недостаточно данных
HYTTY,Spanish,1,2002,2002,1,1,1.0,False,Недостаточно данных
HYTTY,Tunisian,1,2002,2002,1,1,1.0,False,Недостаточно данных
HaT,Arab,1,1964,1964,1,1,1.0,False,Недостаточно данных
HaT,Cameroonian,1,2014,2014,1,1,1.0,False,Недостаточно данных
HaT,Dacian,1,2004,2004,1,1,1.0,False,Недостаточно данных
HaT,Gaul,1,2008,2008,1,1,1.0,False,Недостаточно данных
HaT,Goth,1,2005,2005,1,1,1.0,False,Недостаточно данных
HaT,Hun,1,2014,2014,1,1,1.0,False,Недостаточно данных
HaT,Japanese,1,2014,2014,1,1,1.0,False,Недостаточно данных
HaT,Kenyan,1,2014,2014,1,1,1.0,False,Недостаточно данных
HaT,Nepalese,1,1976,1976,1,1,1.0,False,Недостаточно данных
HaT,Nubian,1,2004,2004,1,1,1.0,False,Недостаточно данных
HaT,Numidian,1,1999,1999,1,1,1.0,False,Недостаточно данных
HaT,Pictish,1,2002,2002,1,1,1.0,False,Недостаточно данных
HaT,Portuguese,1,2001,2001,1,1,1.0,False,Недостаточно данных
HaT,Sea People,1,2004,2004,1,1,1.0,False,Недостаточно данных
HaT,Thracian,1,2001,2001,1,1,1.0,False,Недостаточно данных
HaT,Ukrainian,1,2005,2005,1,1,1.0,False,Недостаточно данных
Hasegawa,British,1,1998,1998,1,1,1.0,False,Недостаточно данных
Hegemony,Chinese,1,2018,2018,1,1,1.0,False,Недостаточно данных
Hegemony,Indian,1,2022,2022,1,1,1.0,False,Недостаточно данных
Hegemony,Persian,1,2022,2022,1,1,1.0,False,Недостаточно данных
Hegemony,Phrygian,1,2022,2022,1,1,1.0,False,Недостаточно данных
Hegemony,Turkish,1,2022,2022,1,1,1.0,False,Недостаточно данных
Heller,Japanese,1,1964,1964,1,1,1.0,False,Недостаточно данных
IMEX,Anglo-Saxon,1,2005,2005,1,1,1.0,False,Недостаточно данных
IMEX,Chinese,1,2005,2005,1,1,1.0,False,Недостаточно данных
IMEX,German,1,2007,2007,1,1,1.0,False,Недостаточно данных
IMEX,North Korean,1,2005,2005,1,1,1.0,False,Недостаточно данных
IMEX,Russian,1,2005,2005,1,1,1.0,False,Недостаточно данных
IMEX,South Korean,1,2005,2005,1,1,1.0,False,Недостаточно данных
IMEX,Texian,1,1997,1997,1,1,1.0,False,Недостаточно данных
