ID,Header,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_5,Nationality_6,Nationality_7,Nationality_8,Nationality_9,Nationality_10,Nationality_11
622,Revell Austrian Dragoons (02573),Austrian,Habsburg Imperial,,,,,,,,,
623,Atlantic Military Hospital (114),Italian,,,,,,,,,,
624,HaT French Young Guard (8034),French,,,,,,,,,,
625,BUM La Legion (5000),Spanish,,,,,,,,,,
626,Strelets Russian Medieval Horsemen (017),Russian,,,,,,,,,,
627,Strelets Russian Mounted Jägers (018),Russian,,,,,,,,,,
628,Strelets Anglo-Saxons (016),Anglo-Saxon,British,English,,,,,,,,
629,Strelets Norman Cavalry (012),French,Norman,,,,,,,,,
630,HaT WW1 Royal Horse Artillery (7005),British,,,,,,,,,,
631,HaT Carthaginian Allies (8058),Carthaginian,CeltIberian,Celtic,French,German,Italian,Libyan,Portuguese,Spanish,,
632,HaT French Light Infantry (8042),French,,,,,,,,,,
633,Atlantic Stampede (1013),USA,,,,,,,,,,
635,Atlantic Hitler - Brown Shirts - SS (9008),German,,,,,,,,,,
637,Zvezda French Dragoons (8024),French,,,,,,,,,,
638,Matchbox German Infantry (40190),German,,,,,,,,,,
639,Matchbox US Infantry (40191),USA,,,,,,,,,,
640,Matchbox German Pioneers (40192),German,,,,,,,,,,
641,Matchbox British Paratroopers (40193),British,,,,,,,,,,
642,Revell Conquistadors (02568),Spanish,,,,,,,,,,
643,Revell Aztecs (02569),Aztec,Mexican,,,,,,,,,
644,HaT British Marines and Sailors (8098),British,,,,,,,,,,
645,HaT 1806 Prussian Musketeers (8083),German,Prussian,,,,,,,,,
646,HaT 1806 Prussian Fusiliers (8084),German,Prussian,,,,,,,,,
647,Almark British Infantry (WD1),British,,,,,,,,,,
648,Almark British Infantry Weapons (WD2),British,,,,,,,,,,
649,Waterloo 1815 X Mas (010),Italian,,,,,,,,,,
651,Evolution Russo-Balt 1914 (EVC002),Russian,,,,,,,,,,
652,Odemars Oscan Infantry (PF10),Italian,,,,,,,,,,
653,Evolution Polish Infantry 1809-14 (EVF001),Polish,,,,,,,,,,
654,Evolution Macedonian Cavalry (EVF002),Greek,Macedonian,,,,,,,,,
655,Evolution Napoleonic French Military Band (EVF024),French,,,,,,,,,,
656,Evolution Napoleonic Polish Infantry (EVF027),Polish,,,,,,,,,,
657,Evolution Carthaginian Mercenaries (EVF029),Carthaginian,Tunisian,,,,,,,,,
658,Evolution Bactrian Cavalry (EVF003),Afghan,Tajik,Uzbek,,,,,,,,
659,Evolution Scythian Cavalry (EVF004),Scythian,,,,,,,,,,
671,Evolution Napoleonic War French Engineers (EVF017),French,,,,,,,,,,
673,Evolution Russian M30 Howitzer (EVF019),Russian,Soviet,,,,,,,,,
676,Evolution Russian Pilots and Ground Crew (EVF022),Russian,Soviet,,,,,,,,,
677,Evolution War Elephant (EVF023),Indian,,,,,,,,,,
681,Hasegawa WWII Pilot Figure Set (35008),British,German,Japanese,USA,,,,,,,
682,Italeri US Paratroopers (6063),USA,,,,,,,,,,
683,Armourfast WWII German Mortar Team (99006),German,,,,,,,,,,
684,Armourfast WWII German Machine Gun Team (99007),German,,,,,,,,,,
685,Zvezda Samurai Warriors - Cavalry (8025),Japanese,,,,,,,,,,
686,IMEX Stagecoach (517),USA,,,,,,,,,,
687,Evolution Russian Tank Crew (EVF031),Russian,Soviet,,,,,,,,,
688,Orion Turkish Janissaries (72010),Ottoman,Turkish,,,,,,,,,
689,LW Russian Tank Crew (20),Russian,Soviet,,,,,,,,,
691,LW German Horse Wagon (15),German,,,,,,,,,,
692,IMEX Conestoga Wagon (518),USA,,,,,,,,,,
693,Accurate Waterloo British Artillery (7211),British,,,,,,,,,,
695,Strelets Russian Line Infantry (025),Russian,,,,,,,,,,
696,LW Cossack Artillery (2012),Cossack,Ukrainian,,,,,,,,,
697,Strelets British Heavy Dragoons (023),British,,,,,,,,,,
698,Strelets French Light Infantry (024),French,,,,,,,,,,
699,Strelets Russian Terek Cossacks (026),Russian,,,,,,,,,,
701,LW War Elephant (32),Indian,,,,,,,,,,
702,First To Fight Polish Infantry Support Weapons (PL1939-027),Polish,,,,,,,,,,
703,Italeri British Commandos (6064),British,,,,,,,,,,
704,Hasegawa U.S. Infantry Combat Team (31129),USA,,,,,,,,,,
705,Zvezda Republican Roman Infantry (8034),Italian,Roman,,,,,,,,,
706,HaT Napoleonic Swedish Infantry (8091),Swedish,,,,,,,,,,
709,LW Samurai Warriors (2011),Japanese,,,,,,,,,,
710,Revell WWII German Paratroops (02532),German,,,,,,,,,,
711,Ykreol Chiefs of War (YK23),French,Hun,Italian,Roman,USA,,,,,,
712,Lucky Toys Austrian Uhlans (TL0005),Austrian,,,,,,,,,,
713,Italeri British Light Cavalry (6044),British,,,,,,,,,,
714,Evolution Cossack Artillery (EVF040),Russian,Ukrainian,,,,,,,,,
715,Lucky Toys Custer - The Last Hunt (TL0003),USA,,,,,,,,,,
716,"Lucky Toys Cheyennes, People of the Big Grasslands (TL0004)",USA,,,,,,,,,,
718,Lucky Toys Late Empire Romans (TL0002),Italian,Roman,,,,,,,,,
719,Italeri Gladiators (6062),Italian,Roman,,,,,,,,,
720,Esci Japanese Imperial Guard (8061),Japanese,,,,,,,,,,
721,Odemars French Revolution (PF09),French,,,,,,,,,,
722,Esci Eighth Army (8019),British,,,,,,,,,,
723,Caesar SAS (H001),British,,,,,,,,,,
725,Caesar German Infantry (H002),German,,,,,,,,,,
726,BUM Pz.KpfW-1a (5002),German,,,,,,,,,,
728,Caesar Japanese Samurai with Ninja (H003),Japanese,,,,,,,,,,
729,Strelets Saxon Garde du Corps (022),German,Saxon,,,,,,,,,
730,HaT WWI Russian Infantry Heavy Weapons Set (8080),Russian,,,,,,,,,,
732,Strelets British Highlanders (029),British,,,,,,,,,,
733,HaT WWI Austrian Infantry Heavy Weapons Set (8081),Austrian,,,,,,,,,,
734,Strelets Russian Cossack Infantry and Sailors (027),Russian,,,,,,,,,,
737,BUM Italian CTV (5003),Italian,,,,,,,,,,
738,Zvezda Russian Cuirassiers (8026),Russian,,,,,,,,,,
