ID,Header,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_5,Nationality_6,Nationality_7,Nationality_8,Nationality_9,Nationality_10,Nationality_11
824,HaT Renault FT-17 with Hotchkiss Machine Gun (8114),French,,,,,,,,,,
825,Strelets Reitars of Charles XII (035),Swedish,,,,,,,,,,
826,Strelets Russian Grenadiers (039),Russian,,,,,,,,,,
827,HaT WWII Polish Infantry (8115),Polish,,,,,,,,,,
828,Odemars Spanish Infantry (CF01),Spanish,,,,,,,,,,
829,HaT WWI Ottoman Artillery and Machine Guns (8094),Ottoman,Turkish,,,,,,,,,
830,Pegasus German Mortar Teams (7204),German,,,,,,,,,,
831,HaT WWI German Heavy Weapons Set (8110),German,,,,,,,,,,
832,HaT Imperial Roman Extra Heavy Legionaries (8064),Italian,Roman,,,,,,,,,
833,Preiser Resting Infantry and Provost Corps Officers (16501),German,,,,,,,,,,
834,Preiser Resting Infantry (72505),German,,,,,,,,,,
835,Zvezda French Imperial Old Guard (8030),French,,,,,,,,,,
836,Italeri Indian Warriors (6061),USA,,,,,,,,,,
837,Italeri American Infantry (6060),USA,,,,,,,,,,
839,Esci Afrika Korps (8018),German,,,,,,,,,,
840,Odemars Carpentum (PF08),Roman,,,,,,,,,,
841,Fujimi British Infantry (76029),British,,,,,,,,,,
842,Caesar Assyrian Army (H007),Syrian,,,,,,,,,,
843,Caesar Egyptian Army (H009),Egyptian,,,,,,,,,,
845,Emhar Saxon Warriors (7206),British,English,Saxon,,,,,,,,
846,IMEX Saxons (7215),Anglo-Saxon,British,,,,,,,,,
847,LW Portugal Artillery (2004),Portuguese,,,,,,,,,,
849,Preiser German Soldiers Walking and Standing (16543),German,,,,,,,,,,
850,Hasegawa Kubelwagen / BMW Side Car (31112),German,,,,,,,,,,
852,Fujimi German Infantry with Gasmasks (76028),German,,,,,,,,,,
854,Esci Nebelwerfer 41 (8033),German,,,,,,,,,,
855,Orion Roman Siege Troops (72008),Italian,Roman,,,,,,,,,
856,LW Swiss Mercenaries (8),Swiss,,,,,,,,,,
857,Preiser German Motorised Infantry (72503),German,,,,,,,,,,
858,Preiser German Motorised Infantry (16520),German,,,,,,,,,,
860,Evolution Russian Medieval Knights (EVF055),Russian,,,,,,,,,,
861,Caesar Saladin with Saracen Cavalry (H018),Egyptian,Iraqi,Syrian,,,,,,,,
862,Caesar Medieval Knights (Crusaders) (H017),Frankish,,,,,,,,,,
864,Preiser German Infantry Dismounting (16528),German,,,,,,,,,,
865,Preiser German Infantry Dismounting (72501),German,,,,,,,,,,
866,MiniArt Burgundian Mounted Knights (72006),Burgundian,French,,,,,,,,,
867,MiniArt French Mounted Knights (72007),French,,,,,,,,,,
868,Strelets Allied Chiefs of Staff (2) (011),Austrian,British,,,,,,,,,
869,Strelets US Cavalry (1) (041),USA,,,,,,,,,,
870,Strelets Artillery of Peter I (042),Russian,,,,,,,,,,
871,Strelets Artillery of Charles XII (043),Swedish,,,,,,,,,,
872,Strelets Roman Auxiliaries Ranks (M124),Italian,Roman,,,,,,,,,
873,Strelets French Foreign Legion Artillery (290),French,,,,,,,,,,
874,Linear-A Imperial Guardsmen of Emperor Justinian I (040),Byzantine,Turkish,,,,,,,,,
875,Linear-A The Nika Revolt (041),Byzantine,Turkish,,,,,,,,,
876,Emhar Russian Artillery (7208),Russian,,,,,,,,,,
877,Emhar American Infantry (7209),USA,,,,,,,,,,
878,Emhar Charge of the Light Brigade (7207),British,,,,,,,,,,
879,Atlantic Seamen (108),Italian,,,,,,,,,,
880,Strelets Medieval Britain (071),British,,,,,,,,,,
881,Strelets Lieb-Drabants of Charles XII (044),Swedish,,,,,,,,,,
882,Zvezda Saxon Cuirassiers (8035),German,Saxon,,,,,,,,,
883,Waterloo 1815 Italian Carabiniers (005),Italian,,,,,,,,,,
884,Waterloo 1815 Italian Bersaglieri (015),Italian,,,,,,,,,,
885,Fujimi Japanese Infantry (76030),Japanese,,,,,,,,,,
886,Italeri Prussian Infantry (6067),German,Prussian,,,,,,,,,
887,Italeri French Infantry (6066),French,,,,,,,,,,
888,Zvezda Samurai Army Headquarters (8029),Japanese,,,,,,,,,,
889,Lucky Toys Roman Commander's Cavalry (TL0007),Italian,Roman,,,,,,,,,
890,HaT WWII German Motorcycle with Sidecar (8126),German,,,,,,,,,,
891,HaT WWII German Motorcycles (8127),German,,,,,,,,,,
892,Fujimi Flight Deck Crew and Carrier Tractor (35001),USA,,,,,,,,,,
893,Fujimi Flight Deck Crew and Fire Engine (35002),USA,,,,,,,,,,
894,Lucky Toys King Porus' Army (TL0008),Indian,,,,,,,,,,
896,Odemars Bosnian Infantry (PF11),Bosnian,,,,,,,,,,
897,Strelets Confederate General Staff (047),Confederate,USA,,,,,,,,,
899,Strelets Napoleon's General Staff (2) (048),French,,,,,,,,,,
900,Italeri Russian Infantry (Winter Uniform) (6069),Russian,Soviet,,,,,,,,,
901,Strelets British Line Infantry (028),British,,,,,,,,,,
902,Italeri German Elite Troops (6068),German,,,,,,,,,,
904,Caesar Biblical Era Libyan Warriors (H022),Libyan,,,,,,,,,,
905,HaT Assyrian Infantry (8092),Assyrian,Syrian,,,,,,,,,
906,Orion Parthian Heavy Cavalry (72021),Iranian,Parthian,,,,,,,,,
907,Strelets Union General Staff (1) (046),USA,,,,,,,,,,
908,MiniArt Italian Knights (72008),Italian,,,,,,,,,,
909,Caesar Hittite Warriors (H008),Anatolian,Hittite,Turkish,,,,,,,,
910,Coates & Shine WWI Serbian Infantry (8122),Serbian,,,,,,,,,,
911,Coates & Shine WWI German Colonial Infantry (8123),Burundi,Rwandan,Tanzanian,,,,,,,,
912,HaT Assyrian Allied Infantry (8121),Assyrian,Iraqi,Syrian,,,,,,,,
913,Mars German Don Cossacks (72113),Russian,Ukrainian,,,,,,,,,
914,Hegemony Long Range Desert Group (HG001),British,,,,,,,,,,
916,Zvezda Republican Roman Cavalry (8038),Italian,Roman,,,,,,,,,
917,Caesar Trojan Army (H019),Anatolian,Trojan,Turkish,,,,,,,,
918,Caesar Mycenaean Army (H020),Greek,,,,,,,,,,
919,HaT WWII Romanian Infantry (8118),Romanian,,,,,,,,,,
920,Preiser US Army Air Force Personnel (16521),USA,,,,,,,,,,
923,HaT WWI US Infantry (8112),USA,,,,,,,,,,
925,Esci British 25 Pdr Gun (8045),British,,,,,,,,,,
926,Italeri German Afrikakorps (6076),German,,,,,,,,,,
927,Italeri British 8th Army (6077),British,,,,,,,,,,
928,Fujimi US Army Infantry (76027),USA,,,,,,,,,,
930,Preiser Modern US Infantry in Action (16533),USA,,,,,,,,,,
931,Preiser Modern US Infantry in Action (72519),USA,,,,,,,,,,
932,Preiser Soviet Infantrymen on a Tank (72525),Russian,Soviet,,,,,,,,,
933,Preiser Soviet Infantrymen on a Tank (16545),Russian,Soviet,,,,,,,,,
934,Preiser Soviet Infantrymen on a Tank (16532),Russian,Soviet,,,,,,,,,
935,Preiser Soviet Infantrymen on a Tank (72523),Russian,Soviet,,,,,,,,,
936,Pegasus U.S.M.C. in Vietnam (7401),USA,,,,,,,,,,
937,Pegasus US Rangers D-Day (7351),USA,,,,,,,,,,
938,Preiser Luftwaffe Pilots and Ground Crew (72508),German,,,,,,,,,,
939,Preiser Luftwaffe Pilots and Ground Crew (16502),German,,,,,,,,,,
940,Hegemony Northern Wei (HG002),Chinese,,,,,,,,,,
941,Strelets Pickett's Charge 1 (148),Confederate,USA,,,,,,,,,
942,Waterloo 1815 Austrian Infantry 1859 (017),Austrian,,,,,,,,,,
943,Caesar Assyrian Cavalry (H010),Assyrian,Iraqi,Syrian,,,,,,,,
944,Waterloo 1815 Austrian Artillery 1859 (018),Austrian,,,,,,,,,,
949,Caesar Assyrian Chariot (H011),Assyrian,Syrian,,,,,,,,,
950,Fujimi German Infantry (76025),German,,,,,,,,,,
951,Strelets Boers (056),Boer,South African,,,,,,,,,
952,Preiser Modern German/NATO Pilots and Ground Crew (72520),German,,,,,,,,,,
953,Strelets British Lancers (055),British,,,,,,,,,,
955,Strelets Australian Lancers (054),Australian,,,,,,,,,,
956,Strelets Bengal Lancers (057),Indian,,,,,,,,,,
957,Strelets Mounted Boers (037),Boer,South African,,,,,,,,,
958,Italeri American Special Forces (6078),USA,,,,,,,,,,
959,Italeri Vietnamese Army / Vietcong (6079),Vietnamese,,,,,,,,,,
961,Strelets British Infantry (038),British,,,,,,,,,,
962,Fujimi Bridge and Checkpoint (36039),German,,,,,,,,,,
963,Fujimi Field Accessories (36038),German,,,,,,,,,,
965,Zvezda French Foot Artillery (8028),French,,,,,,,,,,
967,Preiser German Tank Crew (16500),German,,,,,,,,,,
968,Preiser German Tank Crew (72507),German,,,,,,,,,,
969,Odemars Iberian Infantry (PF13),CeltIberian,Spanish,,,,,,,,,
980,Fujimi Kubel Wagen (76054),German,,,,,,,,,,
981,Orion Medieval Siege Troops (72019),British,English,French,German,Italian,Scottish,Spanish,,,,
982,HaT French Limber (8105),French,,,,,,,,,,
983,Coates & Shine Indian Cavalry (8131),Indian,,,,,,,,,,
984,HaT WWII German Mounted Infantry (8120),German,,,,,,,,,,
985,HaT WWII German Bicyclists (8119),German,,,,,,,,,,
1007,Metch Samurai Warlords (172003),Japanese,,,,,,,,,,
1014,Linear-A The Etruscans Cavalry: Set 2 (022),Italian,,,,,,,,,,
1020,HaT Assyrian Cavalry (8125),Assyrian,Iraqi,Syrian,,,,,,,,
1021,HaT French Ammunition Caisson (8101),French,,,,,,,,,,
1022,Orion German Paratroopers (72018),German,,,,,,,,,,
1023,Zvezda Russian Strelets Infantry (8040),Russian,,,,,,,,,,
1024,Strelets German Dragoons (045),German,,,,,,,,,,
1025,Strelets Russian Dragoons (058),Russian,,,,,,,,,,
1026,Strelets Don Cossacks (059),Cossack,Russian,,,,,,,,,
1027,Strelets German Hussars (060),German,,,,,,,,,,
1028,Strelets German Uhlans (072),German,,,,,,,,,,
1029,Strelets Kuban\Terek Cossacks (073),Russian,,,,,,,,,,
1030,RedBox Picts (72001),British,Pictish,,,,,,,,,
1031,IMEX The Charge of the Light Brigade (7216),British,,,,,,,,,,
1032,IMEX Russian Artillery (7217),Russian,,,,,,,,,,
1033,IMEX American WWI Infantry (7218),USA,,,,,,,,,,
1034,LW Roman Assault Troops (9),Italian,Roman,,,,,,,,,
1035,Evolution Roman Assault Troops Testudo (EVF035),Italian,Roman,,,,,,,,,
1036,MiniArt Swiss Infantry (72009),Swiss,,,,,,,,,,
1037,IMEX American Artillery (554),USA,,,,,,,,,,
1038,IMEX British Artillery (555),British,,,,,,,,,,
1039,Evolution Dacian Cavalry (EVF036),Dacian,Romanian,,,,,,,,,
1040,Zvezda Carthaginian Infantry (8010),Carthaginian,Tunisian,,,,,,,,,
1041,Evolution Sarmat Cavalry (EVF037),Russian,Sarmatian,Ukrainian,,,,,,,,
1042,IMEX Mexican Round Hat Infantry (553),Mexican,,,,,,,,,,
1043,Caesar Modern US Army (H030),USA,,,,,,,,,,
1045,BUM Militian Army (5004),Spanish,,,,,,,,,,
1046,Caesar Arab Camel Riders and Bedouin (H023),Arab,,,,,,,,,,
1047,Evolution Bosporan Cavalry (EVF038),Ukrainian,,,,,,,,,,
1048,Caesar Hittite Chariots (H012),Hittite,Turkish,,,,,,,,,
1049,Caesar Mitannian Mariyannu Chariot (H015),Mitannian,Syrian,,,,,,,,,
1050,Atlantic Navy (109),Italian,,,,,,,,,,
1053,Preiser German Panzergrenadiers Advancing (72527),German,,,,,,,,,,
1054,Strelets Auxiliaries on the March (M125),Italian,Roman,,,,,,,,,
1055,RedBox Colonial British Army 1890 (72003),British,,,,,,,,,,
1056,RedBox Afghan Warriors (72004),Afghan,,,,,,,,,,
1058,Preiser German Paratroopers (16508),German,,,,,,,,,,
1061,Italeri British 95th Regiment (6083),British,,,,,,,,,,
1062,Italeri Mamelukes (6082),French,,,,,,,,,,
1065,Preiser Soviet Guards Infantry 1942 (16505),Russian,Soviet,,,,,,,,,
1066,Preiser German Armoured Infantry (16504),German,,,,,,,,,,
1068,Strelets British Hussars (050),British,,,,,,,,,,
1069,MiniArt German Knights (72011),German,,,,,,,,,,
1070,Strelets German Cuirassiers (077),German,,,,,,,,,,
1071,Strelets Scottish Army of Robert Bruce (081),British,Scottish,,,,,,,,,
1073,RedBox Japanese Warrior Monks (72005),Japanese,,,,,,,,,,
1074,Strelets Union General Staff (2) (080),USA,,,,,,,,,,
1075,RedBox Ashigaru (Archers and Arquebusiers) (72006),Japanese,,,,,,,,,,
1076,Strelets Russian Hussars (076),Russian,,,,,,,,,,
1077,Strelets Russian Army of Alexander Nevsky (082),Muscovite,Russian,,,,,,,,,
1078,HaT Spanish Guerillas (8116),Spanish,,,,,,,,,,
1079,HaT Sumerian Infantry (8132),Iraqi,Sumerian,,,,,,,,,
1080,HaT Sumerian Chariots (8130),Iraqi,Sumerian,,,,,,,,,
1081,HaT French Heavy Ambulance (8104),French,,,,,,,,,,
1082,Italeri French Cuirassiers (6084),French,,,,,,,,,,
1084,Zvezda Swedish Infantry (8048),Swedish,,,,,,,,,,
1085,HaT French Baggage Wagon (8106),French,,,,,,,,,,
1086,HaT Assyrian Chariots (8124),Assyrian,Iraqi,Syrian,,,,,,,,
1090,Strelets British Infantry on the March (141),British,,,,,,,,,,
1093,Preiser US Tank Crew 2000 (72524),USA,,,,,,,,,,
1094,Italeri Prussian Light Cavalry (6081),German,Prussian,,,,,,,,,
1095,Caesar Inca Warriors (H026),Incan,Peruvian,,,,,,,,,
1096,Caesar Hebrew Warriors (H014),Israeli,,,,,,,,,,
1097,Odemars French Grenadiers (CF03),French,,,,,,,,,,
1098,Caesar Ancient Egyptian Warriors (H047),Egyptian,,,,,,,,,,
1099,Evolution Roxolan Cavalry (EVF039),Sarmatian,Ukrainian,,,,,,,,,
1100,Caesar Egyptian Sherden the Royal Guards (H050),Egyptian,,,,,,,,,,
1101,Italeri French Light Cavalry (6080),French,,,,,,,,,,
1102,Caesar The Sea Peoples (H048),Sea People,,,,,,,,,,
1103,Strelets Normans (M001),French,Norman,,,,,,,,,
1104,Orion Ukrainian Foot Cossacks and Artillery (72013),Ukrainian,,,,,,,,,,
1105,RedBox Ashigaru (Spearmen) (72007),Japanese,,,,,,,,,,
1106,Caesar Maya Warriors (H027),Belize,Guatamalan,Mayan,Mexican,,,,,,,
1107,Strelets Norman Archers (M002),French,Norman,,,,,,,,,
1108,Orion Assyrian Rams (72022),Assyrian,Iraqi,Syrian,,,,,,,,
1109,Odemars The Nativity (CREA02),Israeli,Judean,,,,,,,,,
1110,Strelets Anglo-Saxons (M003),Anglo-Saxon,British,English,,,,,,,,
1111,Zvezda French Elite Infantry. Voltigeurs (8042),French,,,,,,,,,,
1112,Mars Pirates of the Caribbean (72009),British,Dutch,English,French,Spanish,,,,,,
1113,Strelets Vikings (M004),Danish,Norwegian,Swedish,Viking,,,,,,,
1114,Caesar Philistine Warriors (H046),Sea People,,,,,,,,,,
1116,Strelets Don Cossacks (052),Russian,,,,,,,,,,
1117,Emhar French Infantry 1854-1871 (7211),French,,,,,,,,,,
1119,Strelets Russian General Staff and Hospital (051),Russian,,,,,,,,,,
1120,Emhar Zouaves (7212),French,,,,,,,,,,
1122,Waterloo 1815 Italian Infantry (019),Italian,,,,,,,,,,
1124,Strelets Don Cossacks in Summer Dress (083),Russian,,,,,,,,,,
1127,Revell Vietcong (02526),Vietnamese,,,,,,,,,,
1130,HaT WWI Canadian Infantry (8111),Canadian,,,,,,,,,,
1132,IMEX German Troops (528),German,,,,,,,,,,
1133,HaT Parthian Heavy Cavalry (8145),Iranian,Iraqi,Parthian,,,,,,,,
1134,HaT Parthian Light Cavalry (8144),Iranian,Parthian,,,,,,,,,
1135,HaT 1806 Prussian Elites (8136),German,Prussian,,,,,,,,,
1136,HaT 1806 Prussian Grenadiers (8135),German,Prussian,,,,,,,,,
1138,Pegasus German Army Infantry 1939 (7499),German,,,,,,,,,,
1139,IMEX Easy Company American (527),USA,,,,,,,,,,
1140,Valiant Classic German Infantry 1944/45 (VM002),German,,,,,,,,,,
1141,Valiant British Tommies 1944/45 (VM001),British,,,,,,,,,,
1143,HaT Württemberg Infantry (8093),German,W&uuml;rttemberg,,,,,,,,,
1144,Italeri Iwo Jima Flag Raisers (6098),USA,,,,,,,,,,
1145,Revell American Special Forces (02527),USA,,,,,,,,,,
1146,Zvezda Carthaginian Numidian Cavalry (8031),Algerian,Tunisian,,,,,,,,,
1147,Strelets Russian Crimean Uhlans (061),Russian,,,,,,,,,,
1148,Strelets Russian Crimean Dragoons (063),Russian,,,,,,,,,,
1149,Strelets Roman Legion on the March (M007),Italian,Roman,,,,,,,,,
1150,Strelets Roman Legion in Battle (M009),Italian,Roman,,,,,,,,,
1151,Zvezda Russian Infantry of Peter the Great (8049),Russian,,,,,,,,,,
1153,Caesar The Conquistadores (H025),Spanish,,,,,,,,,,
1155,Strelets Roman Auxiliaries in Battle (M008),Italian,Roman,,,,,,,,,
1156,Odemars Jesus' Home (with Jesus) (CREA03),Israeli,Judean,,,,,,,,,
1157,Zvezda The Janissaries (8050),Ottoman,Turkish,,,,,,,,,
1158,MiniArt Roman Infantry (72012),Italian,Roman,,,,,,,,,
1159,GerMan Musketeers of the French King (0001),French,,,,,,,,,,
1160,Co.Ma. Bersaglieri (409),Italian,,,,,,,,,,
1161,Dapol Railway Workmen (C002),British,,,,,,,,,,
1162,Dapol Platform Figures (C008),British,,,,,,,,,,
1163,Coates & Shine Macedonian Elephant (8141),Macedonian,,,,,,,,,,
1164,HaT Nassau Infantry (8147),German,Nassau,,,,,,,,,
1165,HaT Late Roman Missile Troops (8137),Italian,Roman,,,,,,,,,
1166,Zvezda English Knights of the 100 Years War (8044),British,English,,,,,,,,,
1167,HaT 1805 French Line Infantry in Greatcoats (8146),French,,,,,,,,,,
1168,Zvezda Roman Imperial Legionaries (8043),Italian,Roman,,,,,,,,,
1169,Strelets Russian Grenadiers in Winter Dress (M011),Russian,,,,,,,,,,
1170,GerMan Cuban War Spanish Infantry (0003),Spanish,,,,,,,,,,
1171,HaT Gallic Warband (8089),Celtic,French,,,,,,,,,
1173,Italeri French Infantry 1798-1805 (6092),French,,,,,,,,,,
1174,Strelets French Cuirassiers in Winter Dress (089),French,,,,,,,,,,
1175,Odemars Defenders of Berlin (PF07),German,,,,,,,,,,
1176,Odemars The Last Defenders of Berlin (PF17),German,,,,,,,,,,
1177,Strelets Russian Hussars in Winter Dress (087),Russian,,,,,,,,,,
1178,MiniArt Hussites (72010),Czech,Hussite,,,,,,,,,
1179,RedBox Japanese Peasant Infantry (72010),Japanese,,,,,,,,,,
1180,Strelets Borodino (084),French,Russian,,,,,,,,,
1181,Caesar Nubian Warriors (H049),Nubian,Sudanese,,,,,,,,,
1182,Strelets French Guard Chasseurs in Winter Dress (M010),French,,,,,,,,,,
1183,Coates & Shine Indian Elephant (8142),Indian,,,,,,,,,,
1184,BUM Spanish Security Forces (5010),Spanish,,,,,,,,,,
1185,Strelets Norman Knights (085),French,Norman,,,,,,,,,
1186,Strelets Breton Knights (086),Breton,French,,,,,,,,,
1187,Caesar Ancient Egyptian Chariots (H024),Egyptian,,,,,,,,,,
1188,Italeri British Infantry 1815 (6095),British,,,,,,,,,,
1189,Strelets Medieval Levy (2) (M006),British,Dutch,English,French,German,Italian,Scottish,Spanish,,,
1190,Caesar Roman Legionary (H041),Italian,Roman,,,,,,,,,
1191,RedBox Ashigaru (Command and Support Group) (72008),Japanese,,,,,,,,,,
1192,Orion Assyrian Siege Tower (72023),Assyrian,Iraqi,,,,,,,,,
1193,Caesar Ancient Germans (H040),German,,,,,,,,,,
1195,RedBox Ninja (72011),Japanese,,,,,,,,,,
1196,RedBox Ikko-ikki (72009),Japanese,,,,,,,,,,
1197,Strelets Arab Cavalry (092),Arab,,,,,,,,,,
1198,Strelets Turcopoles (090),Syrian,,,,,,,,,,
1199,Strelets Military Order Sergeants (088),Frankish,French,German,,,,,,,,
1201,Strelets Muslim Archers (M014),Arab,Egyptian,Syrian,Turkish,,,,,,,
1203,Strelets Into The Valley of Death (901),British,,,,,,,,,,
1204,MiniArt Roman Cavalry (72014),Italian,Roman,,,,,,,,,
1205,Zvezda Vikings (8046),Danish,Norwegian,Swedish,Viking,,,,,,,
1206,Zvezda Ancient Egyptian Infantry (8051),Egyptian,,,,,,,,,,
1208,Italeri Austrian Infantry 1798-1805 (6093),Austrian,,,,,,,,,,
1209,Italeri ZiS 3 AT Gun with servants (6097),Russian,Soviet,,,,,,,,,
1210,GerMan Jacobite Highlanders (0010),British,,,,,,,,,,
1211,Orion Volkssturm (72017),German,,,,,,,,,,
1212,BUM Winter Infantry (5007),Spanish,,,,,,,,,,
1213,Waterloo 1815 Prussian Infantry 1815 (020),German,Prussian,,,,,,,,,
1214,Strelets Roman Auxiliaries 2 (M016),Italian,Roman,,,,,,,,,
1215,BUM Spanish Civil War Cavalry (5014),Spanish,,,,,,,,,,
1216,Strelets Napoleonic French Cuirassiers (Summer Dress) (094),French,,,,,,,,,,
1217,Strelets Guides of Napoleon (095),French,,,,,,,,,,
1218,Strelets French Hussars (096),French,,,,,,,,,,
1219,Orion Cossack Cavalry (72014),Polish,Ukrainian,,,,,,,,,
1220,Coates & Shine Indian Infantry IV BC (8154),Indian,,,,,,,,,,
1221,Strelets Germanic Horsemen (098),German,,,,,,,,,,
1222,Strelets Batavian Cavalry in Roman Service (097),Dutch,,,,,,,,,,
1223,Strelets Turkish Seljukes Cavalry (093),Turkish,,,,,,,,,,
1226,HaT French Middle Guard: Fusilier Grenadiers (8167),French,,,,,,,,,,
1227,HaT 1805-1812 French Line Grenadiers (8166),French,,,,,,,,,,
1228,MiniArt Germanic Warriors (72013),German,,,,,,,,,,
1229,Waterloo 1815 Japanese Infantry (022),Japanese,,,,,,,,,,
1230,Coates & Shine Theban Army (8129),Greek,,,,,,,,,,
1231,HaT Late Roman Medium Infantry (8100),Italian,Roman,,,,,,,,,
1232,Emhar Prussian Infantry (7213),German,Prussian,,,,,,,,,
1233,HaT Napoleonic French Wurst Wagon (8102),French,,,,,,,,,,
1234,Zvezda Roman Auxiliary Infantry (8052),Italian,Roman,,,,,,,,,
1235,RedBox Korean Infantry (72012),Korean,North Korean,South Korean,,,,,,,,
1236,Italeri PaK 40 AT Gun with Servants (6096),German,,,,,,,,,,
1237,LW Sarmation Cavalry (16),Iranian,Russian,Sarmatian,Ukrainian,,,,,,,
1239,Coates & Shine Gothic Army (8133),German,Goth,Polish,,,,,,,,
1240,HaT French Field Forge (8107),French,,,,,,,,,,
1241,Italeri British Light Cavalry 1815 (6094),British,,,,,,,,,,
1242,Airfix WWII British Infantry (01762),British,,,,,,,,,,
1243,GerMan Spanish Rifle Battalion 'La Patria' (0004),Spanish,,,,,,,,,,
1244,LW Dacian Infantry (2010),Dacian,Romanian,,,,,,,,,
1245,Zvezda English Infantry of the 100 Years War (8060),British,English,,,,,,,,,
1246,Orion Scythian Infantry (72025),Polish,Russian,Scythian,Ukrainian,,,,,,,
1247,Strelets Russian Infantry in Summer Uniform (M018),Russian,,,,,,,,,,
1248,Strelets Russian Infantry in Winter Uniform (M017),Russian,Soviet,,,,,,,,,
1249,Valiant American GIs 1942/44 (VM003),USA,,,,,,,,,,
1250,Strelets Roman Legion before Battle (M019),Italian,Roman,,,,,,,,,
1251,Zvezda French Infantry of the Hundred Years War (8053),French,,,,,,,,,,
1252,RedBox Chinese Infantry (72015),Chinese,,,,,,,,,,
1253,Strelets Roman Cavalry in Battle (100),Italian,Roman,,,,,,,,,
1254,Strelets Roman Cavalry on the March (099),Italian,Roman,,,,,,,,,
1255,Italeri Mongol Cavalry (6124),Mongolian,,,,,,,,,,
1256,HaT British Camel Corps (8194),British,,,,,,,,,,
1257,HaT Egyptian Camel Corps (8193),Egyptian,,,,,,,,,,
1258,Pegasus Gladiators (7100),Italian,Roman,,,,,,,,,
1259,Strelets Heavy Brigade (902),British,,,,,,,,,,
1260,Pegasus Russian Naval Infantry (7270),Russian,Soviet,,,,,,,,,
1261,Pobeda Finnish Army (72300),Finnish,,,,,,,,,,
1271,Mars Swedish Infantry (72020),Swedish,,,,,,,,,,
1272,Mars Russian Paratroopers Spetsnaz (72001),Russian,,,,,,,,,,
1273,Mars Modern US Soldiers (72003),USA,,,,,,,,,,
1278,Mars Russian Heavy Weapon Team (72008),Russian,Soviet,,,,,,,,,
1279,Mars Xerxes Army (72010),Iranian,Persian,,,,,,,,,
1284,Mars Swedish Artillery (72015),Swedish,,,,,,,,,,
1285,Mars French Artillery (72016),French,,,,,,,,,,
1286,Mars US Infantry with 37mm Gun (72017),USA,,,,,,,,,,
1287,Mars Aztec Warriors (72018),Aztec,Mexican,,,,,,,,,
1288,Mars Conquistadores (72019),Spanish,,,,,,,,,,
1289,Mars Mujahideen (72002),Afghan,,,,,,,,,,
1290,Zvezda Russian Mounted Knights (8039),Russian,,,,,,,,,,
1291,HaT Gallic Chariot with Warrior Queen (8140),British,Celtic,French,Italian,,,,,,,
1292,Odemars British Infantry for Hougoumont (PF20),British,,,,,,,,,,
1293,GerMan Mounted Musketeers (0011),French,,,,,,,,,,
1294,HaT WWI French Infantry (Early) (8148),French,,,,,,,,,,
1295,Strelets Napoleonic French Uhlans in Winter Dress (101),French,,,,,,,,,,
1296,LW Jewish Infantry (2008),Israeli,Judean,,,,,,,,,
1297,RedBox Korean Heavy Infantry (72014),Korean,North Korean,South Korean,,,,,,,,
1298,Zvezda Turkish Cavalry (8054),Ottoman,Turkish,,,,,,,,,
1299,Odemars French Infantry for Hougoumont (PF19),French,,,,,,,,,,
1300,Orion Scythian Cavalry (72024),Polish,Russian,Scythian,Ukrainian,,,,,,,
1301,HaT Napoleonic Swedish Cavalry (8178),Swedish,,,,,,,,,,
1302,GerMan Napoleonic French Camel Corps (0022),French,,,,,,,,,,
1303,Caesar WWII Chinese Army (H036),Chinese,,,,,,,,,,
1305,Pegasus German 75mm le IG18 (7510),German,,,,,,,,,,
1306,Orion Basmachi (72026),Kazakhstani,Kyrgyzstani,Tajikistani,Turkmenistani,Uzbek,,,,,,
1307,HaT French Guard Chasseurs (8170),French,,,,,,,,,,
1308,RedBox Korean Guerrillas (72013),Korean,North Korean,South Korean,,,,,,,,
1310,Caesar German Army (H035),German,,,,,,,,,,
1311,Lucky Toys Piedmont Infantry and Bersaglieri (TL0006),Italian,,,,,,,,,,
1312,Lucky Toys Garibaldi 'Red Shirts' (TL0009),Italian,,,,,,,,,,
1313,GerMan Bergisel 1809 (0030),Austrian,,,,,,,,,,
1314,Mars Austrian Uhlans (72021),Austrian,,,,,,,,,,
1315,Zvezda Polish Winged Hussars (8041),Polish,,,,,,,,,,
1316,RedBox US Infantry (72017),USA,,,,,,,,,,
1317,Emhar Viking Oarsmen (7218),Danish,Norwegian,Swedish,Viking,,,,,,,
1318,Italeri Templar Knights (6125),German,,,,,,,,,,
1319,Caesar German Panzergrenadiers (Set 1) (H052),German,,,,,,,,,,
1320,LW Dacian Allies (10),Romanian,,,,,,,,,,
1325,HaT Gallic Command (8138),Celtic,French,Gaul,,,,,,,,
1326,RedBox Sikhs (72021),Indian,,,,,,,,,,
1327,BUM National Regular Army (5005),Spanish,,,,,,,,,,
1328,Zvezda Swedish Dragoons of Charles XII (8057),Swedish,,,,,,,,,,
1329,Waterloo 1815 Prussian Hussars (021),German,Prussian,,,,,,,,,
1330,Waterloo 1815 Prussian Death's Head Hussars (032),German,Prussian,,,,,,,,,
1331,Caesar Republican Roman Army (H045),Italian,Roman,,,,,,,,,
1332,Italeri D.A.K. Infantry (6099),German,,,,,,,,,,
1335,HaT 1805 French Grenadiers and Voltigeurs (8171),French,,,,,,,,,,
1336,RedBox Russian Infantry (72018),Russian,,,,,,,,,,
