ID,Header,Release_Year,Aggregate_Rating,Num_Figures
351,Atlantic US Marine Corps (82),1975,29,
352,Matchbox American Infantry (P5002),1976,43,49
353,Revell US Marines (02506),1993,47,50
354,Airfix U.S. Marines (01716),1975,41,44
355,Airfix US Marines (1716),1963,24,44
356,Zvezda Siege Machines Kit 1 (8014),,,
357,Esci British Infantry Soldiers (212),1984,45,50
358,Atlantic Infantry (104),1974,10,
359,Atlantic Infantry with Jeep (105),1974,16,
360,Revell Africa Corps (02513),1994,43,50
361,Esci Afrika Corps Soldiers (206),1983,44,50
362,Airfix Afrika Korps (1711),1962,28,46
363,Airfix Afrika Korps (01711),1973,48,48
364,Heller US Marines (79616),1963,,44
365,Odemars Roman Siege Troops (PF04),2003,22,24
366,Airfix Civilians (01706),1961,31,47
367,Heller WW2 Afrika Korps (79611),1962,,46
368,HaT Napoleonic French Line Horse Artillery (8039),2001,41,24
369,Atlantic German Afrikakorps (88),1977,35,
370,Matchbox Afrika Corps (P5004),1977,42,50
371,IMEX Union Cavalry (503),1994,42,28
372,Italeri Union Cavalry (6013),1998,48,17
373,LW Macedonian Artillery (37),,17,3
374,LW Ancient Artillery Part 1 (26),,,
375,LW Ancient Artillery Part 3 - Scorpion (42),,20,6
376,Revell French Knights (02563),,,
377,Nexus G.A.Custer (ATL07),,,68
378,Italeri French Knights and Foot Soldiers (6026),2001,44,28
379,HaT Union Zouaves (8004),1997,37,48
380,LW Soviet Pilots (23),,41,24
381,HaT Waterloo British Line Infantry (7009),1972,,43
382,Atlantic Alpini (111),1971,21,
383,Zvezda Persian Infantry (8006),,49,42
384,Italeri Persian Infantry (6025),,,42
385,Airfix Commandos (01732),1968,30,36
386,Airfix Commandos (1732),1977,40,32
387,Atlantic Apache's Camp (1006),1975,18,
388,Nexus Apache Camp (ATL15),,,21
389,HaT French Line Chasseurs (8029),1999,39,12
390,Heller British Commandos (79632),1968,,36
391,HYTTY Napoleonic Polish Infantry (2001),,31,44
392,Atlantic Sioux Camp (1012),1976,28,
393,Atlantic French Infantry (87),1975,,
394,Atlantic Divers (110),1972,30,
395,Airfix WWI German Infantry (01726),1966,41,45
396,HaT WW1 German Infantry (7001),,,
397,HaT Hannibal's Carthaginians - African Infantry (8020),1999,37,48
398,HaT Hannibal's Carthaginians - Spanish Infantry (8019),1999,35,48
399,HaT Carthaginian Command and Cavalry (8056),2001,44,36
400,Esci Warsaw Pact Troops (242),1989,46,48
401,Atlantic Anti-Air Missiles (121),1974,17,
402,Airfix Confederate Infantry (01713),1962,27,48
403,Accurate Confederate Infantry (7203),1991,48,50
404,Esci Confederate Infantry (223),1985,44,50
405,IMEX Lewis and Clark (523),2003,48,18
406,Strelets English Cavalry of Edward I (014),2003,37,12
407,Esci Zulu Warriors (213),1984,37,48
408,Italeri Zulu Warriors (6051),1984,,48
409,Italeri British Infantry (6050),,,
410,Strelets The Scottish Army of Wallace (007),2003,38,36
411,Strelets Army of Henry V (006),2003,38,36
412,Italeri English Knights and Archers (6027),2001,41,26
413,Airfix Sheriff of Nottingham (01721),1964,28,24
414,HaT Sheriff of Nottingham (7014),1964,,24
415,Revell British Paratroopers (02509),1992,45,50
416,Esci British Paratroopers (208),1983,42,50
417,Revell English Foot Soldiers (02562),,,
418,Airfix British Paratroops (01723),1965,27,33
419,Airfix Waterloo French Imperial Guard (01749),1975,44,48
420,Esci French Imperial Guard (214),1984,40,50
421,Revell Soviet Cossacks (02514),1995,40,17
422,Airfix Astronauts (01741),1971,25,15
423,Matchbox British Commandos (P5006),1978,42,46
424,Airfix Zoo Animals No. 1 (01724),1966,,2
425,Dark Dream Studio Landsknechts (72002),2003,41,30
430,Airfix Station Accessories (01742),1958,31,24
431,Airfix NATO Infantry (01759),1982,30,48
433,Esci British Commandos (210),1983,39,50
434,HaT WWI Turkish Infantry (8070),2003,42,48
