ID,Header,Release_Year,Aggregate_Rating,Num_Figures
1703,Preiser Refugees (72531),,42,7
1704,Preiser German Military Police (72532),,46,6
1705,Preiser German Riflemen Lined Up (72533),,49,36
1706,Preiser German Troops Lined Up with Mortar (72536),,50,8
1707,RedBox Stradioti Set 2 (72075),2015,39,12
1708,RedBox Jinetes Set 1 (72076),2015,41,12
1709,Revell Pilots and Ground Crew: German Airforce WWII (02400),2009,,30
1710,Revell Pilots and Ground Crew: Royal Air Force (02401),2010,45,25
1711,HaT El Cid Andalusian Light Cavalry (8214),2012,42,12
1712,Ykreol Project R.F.Z. (Set 1) (YK05),2009,,42
1713,Zvezda Russian Noble Cavalry (8065),2009,46,19
1714,Zvezda Swedish Artillery of Charles XII (8066),2010,50,36
1715,Zvezda Cataphracts (8067),2009,48,20
1716,"Zvezda Prussian Grenadiers of Frederick II ""the Great"" (8071)",2009,43,41
1717,Zvezda Lifeguard Polish Uhlans (8075),2009,47,18
1718,Zvezda Soviet Infantry Platoon (8077),2012,49,38
1719,Zvezda German Infantry Platoon (8078),2013,48,35
1720,Strelets British Grenadiers in Winter Dress (M029),2009,33,48
1721,Strelets British Light Infantry (M030),2009,44,48
1722,Strelets RKKA Infantry 1939-41 (M031),2009,41,48
1723,Strelets British Grenadiers in Summer Dress (M032),2009,35,48
1724,Strelets Roman Auxiliaries Before Battle (M033),2009,43,48
1725,Strelets Roman Auxiliaries Advancing (M034),2009,41,48
1726,Strelets From Narva to Poltava (904),2009,43,86
1727,Pegasus California Gold Miners (7050),2009,47,28
1728,Pegasus Farm Animals (7052),2009,,
1729,Italeri Confederate Infantry (6178),2000,,32
1730,Italeri Anti Tank Teams (6131),2009,36,32
1731,Strelets French Army Sledge Train 2 (134),2015,34,9
1732,Italeri US Infantry (Winter Uniform) (6133),2010,45,36
1733,Italeri German Paratroops (Tropical Uniform) (6134),2010,45,48
1734,Italeri French Imperial Guard Artillery (6135),,,
1735,Italeri Scots Infantry (6136),2010,46,36
1736,Italeri Late Imperial Legion (6137),2010,45,36
1737,Italeri Gothic Cavalry (6138),2010,41,15
1738,HaT Austrian Ammunition Wagon (8225),2009,46,
1739,HaT Austrian Cavalry Artillery (8226),2009,45,6
1740,HaT 1805 French Artillery (8229),2010,43,16
1741,HaT 1806 Prussian Artillery (8230),2010,43,16
1742,HaT Württemberg Artillery (8232),2010,44,16
1743,HaT WWI British Heavy Weapons (8177),2009,44,32
1744,HaT WWI ANZAC Heavy Weapons (8190),2009,45,32
1745,HaT British Mortars (8227),2009,47,32
1746,HaT WW2 British Machine Guns (8228),2009,46,32
1747,Emhar Portuguese Infantry and Cazadores (7217),2014,46,46
1748,HaT Zulu War British Infantry (8237),2012,43,48
1749,RedBox Byzantine Light Cavalry Set 2 (72138),2024,37,12
1750,RedBox Byzantine Clibanarii Set 2 (72152),2024,41,12
1751,RedBox Byzantine Cataphracts Set 1 (72153),2024,43,12
1752,HaT Natal Native Contingent (8192),2013,38,32
1753,HaT Austrian Landwehr (8233),2011,43,60
1754,Strelets Spartacus Army Before Battle (M110),2018,45,52
1755,Metch Roman Turtle and Wall (172015),,,
1757,Valdemar Cuman Cavalry (VA112),2009,46,7
1758,Metch Long Range Desert Patrol (172113),,,
1759,Metch Kiev 1943 (172114),,,
1760,Metch WW2 German Stug III F (172116),,,
1761,Metch Artillery Train Gran Capitan (172167),,,
1762,Metch WW2 German SDK Command (172117),,,
1763,Metch Irak Insurgents (172201),,,
1764,Pobeda KV-1 Russian Tank 76.2mm (72318),,,
1765,Pobeda KV-2 Russian Tank 152mm (72330),,,
1766,Pobeda WWI German Ambulance (72111),,,
1767,Pobeda Scout US Car WWI (72112),,,
1768,Pobeda Jewish Revolt - Masada (72113),,,
1769,GerMan Ultramar Civil Guard (0009),,,
1770,GerMan Siege of Barcelona Catalans (1000),2009,44,27
1771,GerMan Army of Philip V (1010),2009,41,27
1772,Ykreol The Nativity (YK07),,,
1773,GerMan Hungarian Hussars and Artillery (1003),2009,37,11
1774,GerMan Catalan Cavalry (1004),2009,40,11
1775,RedBox English Sailors in Battle 16-17th Century (72082),2015,35,32
1776,GerMan Battle of Almenar British Army (1020),2009,32,16
1777,GerMan Battle of Talamanca Catalan Army (1022),2010,43,22
1778,Strelets IJA Infantry in Defence (M115),2021,44,52
1779,GerMan Bourbon Artillery and Staff (1011),2009,38,5
1780,GerMan Cavalry of Phillip V Dragoons of Marimon (1012),2009,37,11
1781,RedBox English Sailors Artillery 16-17th Century (72083),2015,37,20
1782,GerMan Castell de Montjuic (1023),2010,,8
1783,Zvezda German Airforce Ground Crew (6188),2015,,5
1784,HaT Schutztruppe (8270),2014,36,44
1785,HaT Askari (8268),2014,39,48
1786,HaT Ruga-Ruga (8269),2014,40,48
1787,Ultima Ratio Carthaginian Army: Hannibal's Veterans (UR019),2023,42,24
1788,Waterloo 1815 Prussian Hussars of Frederick the Great (052),1993,,17
1789,Valdemar Catapult with Crew (VA123),2009,49,4
1790,"LW Swiss Infantry, Burgundian Wars (2005)",2005,,14
1791,Valdemar Pilgrims (VA124),2009,50,3
1792,Valdemar Musicians (VA125),2009,50,7
1793,Strelets The Last Assault on Sevastopol (906),2010,44,190
1794,Strelets Roman Extra Heavy Infantry (M042),2009,38,48
1795,Strelets Norman Army Before Battle (M043),2009,41,56
1796,Strelets Red Army in Winter Dress (M044),2009,44,48
1797,Strelets Red Army in Summer Dress (M045),2009,45,48
1798,Strelets Russian Army in Winter Dress (M046),2010,41,48
1799,Strelets Russian Army in Summer Dress (M047),2010,40,56
1800,Strelets Medieval Russian Militia (M048),2009,37,48
1801,Strelets Praetorian Cohort (M049),2010,41,56
1802,Strelets Anglo-Saxons Before Battle (M050),2010,49,56
1803,Ykreol French Line Infantry 1815 (YK01),2008,,42
1804,Ykreol French Empire Grenadiers (YK02),2006,,42
1805,Ykreol Portuguese Infantry of the Empire (YK03),2005,,42
1806,Ykreol British Line Infantry 1815 (YK04),2008,,42
1807,Caesar WWII German Paratroopers (H068),2009,46,40
1808,HaT French Light Infantry Chasseurs (Action) (8251),2010,45,32
1809,HaT French Light Infantry Chasseurs (Command) (8252),2010,49,32
1810,HaT Taaishi Camelry (8250),2010,47,15
1811,HaT WWI Italian Artillery Crew (8259),2011,45,32
1812,Italeri German Infantry (Winter Uniform) (6151),2014,43,36
1813,HaT Napoleonic Spanish Grenadiers (8301),2014,39,32
1814,HaT Prussian Landwehr Marching (8309),2018,46,56
1815,First To Fight Polish Uhlans Dismounted (PL1939-066),2019,26,15
1816,Orion Rus Foot Knights (Druzhina) (72031),2009,41,48
1817,Orion Kievan Rus Infantry (72032),2009,41,52
1818,Ykreol Project R.F.Z. (Set 2) (YK06),2009,,42
1819,Mars Imperial Army (72032),2009,26,9
1820,Zvezda Scythian Cavalry (8069),2009,47,18
1821,Mars Saxon Infantry (72035),2009,38,56
1822,Strelets Dacian Heavy Infantry (M021(2)),2009,41,48
1823,Strelets Dacian Light Infantry (M022(2)),2009,43,48
1824,Strelets WWII New Zealand Troops (M111),2016,37,52
1825,Strelets WWII US Navy with Anti-Aircraft Machine-Gun (M112),2016,39,40
1826,Airfix WWII British Infantry (01763),2011,38,48
1827,Caesar WWII German Army with Field Greatcoat (H069),2009,40,35
1828,Mars Scots Mercenaries (72034),2009,36,48
1829,HaT El Cid Andalusian Heavy Cavalry (8215),2012,42,12
1830,HaT El Cid Almoravid Light Cavalry (8246),2012,42,12
1831,HaT El Cid Almoravid Heavy Cavalry (8247),2012,43,12
1832,HaT El Cid Spanish Command (8248),2012,48,15
1833,HaT El Cid Moorish Command (8249),2012,48,18
1834,HaT WW2 German Tank Riders (8262),2011,45,44
1835,HaT WW2 Russian Tank Riders (8263),2011,45,44
1836,HaT WW2 British Tank Riders (8264),2011,46,44
1837,HaT WW2 American Tank Riders (8265),2011,47,44
1838,HaT WWI German Field Wagon (8260),2012,,6
1840,Valdemar Medieval Highwaymen (VA129),2010,50,5
1841,HaT Napoleonic British Light Dragoons (8307),2020,39,12
1842,Strelets French Army Sledge Train 1 (133),2015,35,9
1843,Strelets Roman Transport 3 (131),2015,,14
1844,Plastic Soldier British 6-pdr Anti-Tank Gun and Loyd Carrier Tow (WW2G20004),2014,46,20
1845,Waterloo 1815 US 7th Cavalry (050),2011,43,14
1846,Waterloo 1815 Apache Warriors (051),2012,42,12
1847,Strelets Roman Transport 4 (132),2015,40,13
1848,Zvezda Spartans (8068),2011,47,41
1850,Zvezda Dragoons of Peter I (8072),2010,47,19
1851,Zvezda Mongols - Golden Horde (8076),2011,47,19
1852,Zvezda Black Hussars of Frederick the Great (8079),2010,47,19
1853,Zvezda Russian Infantry of World War I (8082),2010,47,40
1854,Zvezda German Infantry of World War I (8083),2010,46,41
1855,Plastic Soldier Russian Infantry in Summer Uniform (WW2020001),2010,49,57
1856,Plastic Soldier Late War German Infantry 1943-45 (WW2020003),2010,47,54
1857,Plastic Soldier Late War British Infantry 1944-45 (WW2020002),2011,45,66
1858,Plastic Soldier Russian Infantry Heavy Weapons (WW2020004),2011,48,39
1859,Plastic Soldier Late War German Infantry Heavy Weapons (WW2020005),2012,45,45
1860,"RedBox European Light Cavalry, 16th Century Set 1 (72084)",2015,41,12
1861,RedBox Policemen and Citizens (72037),2010,35,48
1862,Strelets Praetorians' Ceremonial March (M109),2016,,40
1863,Valdemar Medieval Guards Resting (VA126),2010,50,7
1864,Valdemar Medieval Guards on Duty (VA127),2010,50,6
1865,Ykreol Roman Nobleman's Chariot (YK08),2005,,1
1866,Ykreol Samnite Infantry (YK09),2004,,42
1867,Ykreol Spanish Infantry 1808 (YK10),2005,,42
1868,HaT WWI British QF 4.5 Inch Howitzer (8243),2011,,
1869,HaT 10cm Feldhaubitze M.14 (8245),2011,,
1870,HaT Prussian Infantry Marching (8253),2011,50,40
1871,HaT Prussian Infantry Action (8254),2011,46,40
1872,HaT Prussian Infantry Command (8255),2011,49,36
1873,HaT WWI British Artillery Crew (8256),2011,47,32
1874,HaT WWI Russian Artillery Crew (8257),2011,46,32
1875,HaT WWI Austrian Artillery Crew (8258),2011,44,32
1876,Strelets Russian Dragoons (107),2010,,12
1877,Strelets Russian Hussars (108),2010,,12
1878,Strelets Bashi-Bazouks (109),2010,43,12
1879,Strelets Turkish Regular Cavalry (110),2012,43,12
1880,Strelets Turkish Artillery (111),2011,,
1881,Strelets Russian Field Artillery (Summer Uniform) (112),2011,40,14
1882,Strelets Turkish Army (M052),2016,,48
1883,Strelets Sardinians (M053),2011,39,48
1884,Strelets British Cavalry (Late War) (114),2011,40,12
1885,Valdemar Medieval Inquisition (VA130),2010,50,10
1886,Caesar WWII German Afrika Korps (H070),2010,47,35
1887,Caesar WWII US Infantry Set 2 (H071),2010,46,36
1888,Caesar WWII Italian Infantry (H072),2010,44,31
1889,Caesar WWII British Commandos (H073),2010,46,27
1890,Orion Cumans (Polovets) and Pechenegs (72034),2010,43,12
1891,Orion Iberian Infantry (72035),2010,33,48
1892,Orion Rus Mounted Knights (72033),2010,42,12
1893,Orion Soviet Tankmen and Crew (Summer Dress) (72036),2010,45,39
1894,Metch Lord Lovat's Commandos (172144),2010,36,23
1895,GerMan Armed Civilians and Porch (1002),2010,,8
1896,Mars Swedish Heavy Cavalry (72036),2010,33,12
1897,Mars Imperial Mounted Arquebusiers (72037),2010,34,12
1898,Mars Imperial Siege Artillery (72038),2010,39,18
1899,Mars French Infantry and Guard (72039),2010,34,48
1900,BUM Schneider Gun (5035),2010,,5
1901,LW French Musketeers (2027),2010,38,42
1902,Valdemar Medieval Repentance (VA131),2010,50,6
1903,Valdemar Medieval Organ and Crew (VA132),2010,49,3
1904,HaT WWI Belgian Carabinier Bicyclists (8275),2014,44,12
1905,HaT Sassanid Light Infantry (8267),2013,43,32
1906,HaT WW2 Japanese Bicycle Infantry (8278),2014,46,12
1907,Strelets Russian Mountain Artillery (Winter Uniform) (113),2011,44,14
1908,Strelets German Stormtroops (M055),2011,37,56
1909,Strelets British Infantry in Gasmasks (M056),2011,35,48
1910,Strelets French Infantry in Gas Masks (M057),2011,40,48
1911,Strelets Russian Infantry in Gas Masks (M058),2011,38,48
1912,Strelets Austro-Hungarian Infantry in Gas Masks (M059),2011,39,48
1913,Strelets German Infantry in Gas Masks (M060),2011,38,48
1914,Valdemar Medieval Hunting Party (VA111),2010,50,12
1915,Valdemar Medieval Smithy (VA133),2010,46,9
1916,Waterloo 1815 Italian Cavalry (001),2010,43,10
1917,"Strelets Turkish Infantry, Winter Uniform (M066)",2011,35,48
1918,Orion Soviet Quad Maxim AA MG and Crew (72037),2010,45,15
1919,Orion Soviet DShK AA MG and Crew (72038),2010,43,15
1920,Orion Hussite War Wagon and Command (72039),2011,39,6
1921,RedBox Hussite Artillery (72038),2010,39,15
1922,RedBox Hussite Infantry (72039),2011,39,36
1923,Strelets British Siege Artillery (062),2011,39,14
1924,Strelets French Field Artillery (065),2011,46,14
1925,Metch Bunker Command and German Generals (172124),,,
1926,Strelets Roman Transport (2) (117),2011,43,13
1927,Strelets Romanian Infantry (M061),2011,39,48
1928,Strelets Finnish Army 1939-42 (M062),2011,43,48
1929,"Ykreol Division ""Handschar"" - Yugoslavia 1943 (YK12)",2006,,39
1930,Zvezda German Infantry 1939-42 (6105),2010,,10
1931,Zvezda German Machinegun MG-34 with Crew (6106),2010,,4
1932,Zvezda Soviet Infantry 1941-43 (6103),2010,,10
1933,Zvezda Soviet Maxim Machinegun With Crew (6104),2010,,4
1934,"Metch Arnhem, Too Far (172145)",2010,44,25
1935,Strelets British Regiment of Horse (Late War) (255),2021,47,12
1936,HaT Putilov 76mm M1902 Gun (8173),2011,,
1937,HaT WWI British Cavalry (8272),2013,46,15
1938,HaT WWI French Cavalry (8273),2013,46,15
1939,HaT WWI Turkish Cavalry (8274),2013,46,15
1940,Waterloo 1815 American 75mm Mountain Gun (038),2011,48,12
1941,Preiser Modern US Army Seated Drivers & Soldiers (16564),,48,14
1942,Preiser Modern US Army Tank Crew (16567),,,
1943,Preiser Soviet Marine Light Infantry (16569),,44,11
1944,Preiser German Field Wagon (16570),,,4
1945,Preiser German Zundapp Motorcycles and Riders At Attention (16571),,49,6
1946,First To Fight German Command (PL1939-018),2014,39,21
1947,Preiser German Riflemen Lined Up (16573),,,36
1948,Preiser German Zundapp Motorcycles with Riders (16575),2016,,5
1949,Preiser German Small Arms Ammunition Carts (16576),,49,4
1950,Preiser Russian Prisoners of War (16577),,48,22
1951,Preiser German Prisoners of War (16578),,49,20
1952,Preiser Zundapp Motorcycles with Crews Pushing (16580),2016,,4
1953,Preiser German Riflemen with Mortar & Horse Lined Up (16585),,,8
1954,Preiser German Horse Drawn Field Wagon Erfa (16588),,,4
1955,Toxso Modern US Soldiers (1404),2014,40,19
1956,Preiser PaK L/45 with Crew (16591),,50,5
1957,Preiser Riflemen in Winter Uniform with Carts (16592),,46,6
1958,Preiser East German Guard Battalion (16593),,50,27
1959,Preiser Field Kitchen (16594),,50,6
1960,Preiser Bicycle Unit Cycling and Walking (16596),,50,6
1961,Preiser German Standing Draught Horses (16597),,50,2
1962,Toxso M102 105mm Howitzer (1402),2014,43,5
1963,Preiser Soviet Attacking Infantrymen in Winter Uniform (16600),,47,12
1964,Preiser East German Frontier Guards (16601),,47,6
1965,Toxso 10.5 cm s.K.18 (1407),2015,45,5
1966,Preiser German Infantry Attacking in Winter Uniform (16604),,47,12
1967,Preiser Soviet & German Infantry Close Combat Winter (16605),,46,16
1969,RedBox Swiss Artillery (72065),2015,41,16
1970,RedBox Russian Artillery (72071),2015,46,16
1971,RedBox Russian Artillery (72072),2015,45,16
1972,RedBox Battlefield Accessory Set (72073),2015,,
1974,"Caesar European Knights, 15th Century (H091)",2010,48,30
1975,Caesar Panzergrenadiers (Kharkov 1943) (HB01),2010,44,20
1976,Caesar WWII Panzergrenadiers (Ardennes 1944) (HB02),2010,45,21
1977,Caesar WWII German Panzer Crews (HB03),2010,49,18
1978,LW German Knights (2026),,,
1979,Preiser German Military Motorists (18366),,,12
1980,Zvezda Soviet Engineers 1941-42 (6108),2011,,4
1981,Zvezda German Sturmpioniere 1939-42 (6110),2011,,4
1982,Zvezda Soviet Anti-Tank Team (6135),2011,,4
1983,Zvezda German Paratroops (6136),2011,,4
1984,Zvezda Soviet Reconnaissance Team (6137),2011,,4
1985,Zvezda Soviet Paratroopers (6138),2012,,4
1986,Zvezda Soviet Naval Infantry (6146),2011,,4
1987,Zvezda German Reconnaissance Team (6153),2011,,4
1988,Zvezda German Gebirgsjäger (6154),2012,,4
1989,Zvezda Soviet Cavalry (6161),2012,,2
1990,Zvezda Ashigaru-yari (6401),2012,,5
1991,Zvezda Ashigaru with Arquebus (6402),2012,,5
1992,Zvezda Samurai-Naginata (6403),2012,,5
1993,Zvezda Samurai Archers (6404),2013,,5
1994,Zvezda Samurai with Nodachi (6405),2012,,5
1995,Zvezda Ninja (6406),2013,,5
1996,Zvezda Mounted Samurai (6407),2012,,2
1997,Strelets Ural Cossacks (064),2015,44,13
1998,Strelets Roman Imperial Legion (Ceremonial March) (M101),2015,44,40
1999,Strelets Republican Roman Legion (Ceremonial March) (M102),2015,44,40
2000,Zvezda Samurai Commanders (6411),2012,,4
2002,Zvezda French Napoleonic HQ Staff (8080),2011,46,18
2003,Mars Imperial Light Infantry (72043),2011,32,48
2004,Orion Soviet Artillery Crew (72041),2011,38,37
2007,Valdemar Medieval Grieving Persons (VA136),2010,46,5
2008,Valdemar Medieval Mobile Bakery (VA134),2010,50,3
2009,Valdemar Medieval Civilians/Ship Crew Set 2 (VA135),2010,50,8
2010,RedBox Mounted Men at Arms (72045),2014,41,12
2011,Revell British Infantry WWII (02597),,,
2012,Revell German Infantry WWII (02598),,,
2013,Ykreol Wellington's Staff (YK13),2005,,42
2014,HaT WWI Highlanders (8235),2011,37,32
2015,HaT WWI Indian Infantry (8236),2011,41,32
2016,HaT Dervish Warriors (8271),2011,41,32
2017,Valiant German IF8 Infantry Cart (VM005),2011,,2
2018,Mars Swedish Mercenary Dragoons (72040),2011,25,12
2019,Mars Imperial Heavy Cavalry (72041),2011,35,12
2020,Mars Teutonic Knights (72050),2011,32,12
2021,Mars Polish Knights (72051),2011,32,12
2022,Revell American Infantry WWII (02599),,,
2023,Strelets 6-Inch Mk VII Cannon with British Crew (A001),2012,40,12
2024,Strelets 8 Inch Mk VII Howitzer (A002),2013,40,10
2025,Strelets 8 Inch Mk II Howitzer with Early British Crew (A003),2012,41,10
2026,Strelets 6 Inch Mk XIX Cannon (A004),2013,42,12
2027,Orion Modern Israeli Army (Set 2) (72040),2011,40,48
2028,RedBox Men-at-Arms and Retinue (72040),2011,34,30
2030,Caesar WWII German Cavalry Division (H092),2016,48,13
2031,Caesar Modern US Soldiers in Action (Set 2) (H094),2016,45,19
2032,Caesar WWII German Command Staff with Kübelwagen (H095),2016,43,10
2033,Caesar WWII German Sd.Kfz.2 Kettenkrad & Raketenwerfer 43 (H096),2017,44,10
2034,Caesar Modern US Soldiers in Action (HB11),2014,43,24
2035,Strelets Polish Troops in Attack (144),2017,46,47
2036,Strelets WWI French Field Kitchen (292),2021,38,16
2037,Strelets Russian Hussars in Reserve (276),2021,46,17
2038,Strelets British Infantry Firing Line (278),2021,46,49
2039,Strelets British Dragoons (256),2022,47,12
2040,Caesar Sportsmen Set I (HB20-1),2012,,25
2041,Linear-A Neo-Assyrian Empire Infantry Set 1 (056),2024,47,40
2045,Waterloo 1815 WWII German Cavalry (Set 1) (025),2012,45,12
2046,Waterloo 1815 WWII US Mountain Troops (031),2012,44,27
2047,Waterloo 1815 Roger's Rangers (035),2012,40,30
2048,Waterloo 1815 British Paratroopers with Pack Howitzer (036),2012,46,18
2049,"Waterloo 1815 Italian Tank, Vehicle and Artillery Crews (037)",2012,46,18
2050,GerMan King's Musketeers (0012),,,
2051,GerMan Cardinal Richelieu (0013),,,
2052,BUM Roger's Rangers (2001),2011,36,24
2053,BUM Whaleboat Rangers (2002),2011,44,6
2054,BUM Rangers and Canoes (2003),2011,40,9
2055,BUM Cabin Attack (2004),2011,,13
2056,BUM Ambush! (2005),2011,30,11
2057,BUM Massacre! (2006),2011,37,14
2058,BUM Huron Hut (2007),2012,,13
2059,BUM Huron's Camp (2011),2012,,9
2060,Ultima Ratio WWII Soviet & Polish Infantry (UR003),2015,41,42
2061,BUM Bedroom Fort-West (2114),2013,,3
2062,BUM French Bombard (2025),2011,35,4
2063,BUM Forge Fort-West (2115),2013,,4
2064,HaT WWII French Artillery Crew (8162),2018,42,32
2065,Metch Japan Chi-Ro Tank Type 89 (172130),,,
2066,Metch Japanese Armoured Car Sumida (172131),,,
2067,Metch Japanese Artillery Tractor HO-FU (172132),,,
2068,Metch Japanese CHI-HE Tank (172133),,,
2069,Metch Japanese Isuzu Truck (172134),,,
2070,Metch Iwo-Jima Defences (172136),,,
2071,Pobeda Putilov Garfort (72351),,,
2072,Pobeda Gazz AA Truck (72352),,,
2073,Pobeda Austin Putilov S1 (72353),,,
2074,Pobeda Lanchester 1918 (72354),,,
2075,Pobeda Russian Civil War Trenches (72355),,,
2076,Metch Armoured Car Fordson (172140),,,
2077,Metch Matilda Tank (172141),,,
2078,Metch Crusader Tank (172142),,,
2079,BUM Condor Legion Artillery (5045),,,
2080,BUM Nationalist Heavy Artillery (5046),,,
2081,BUM Alcazar de Toledo Siege (5050),,,
2082,BUM Siege of Toledo Alcazar (5051),,,
2083,BUM Lanchester Asturias 1936 (5053),,,
2084,Zvezda German Anti-Tank Gun PaK-36 with Crew (6114),2011,,2
2085,Linear-B Roman Transport (116),2011,41,13
2086,Strelets Mamelukes (120),2011,41,12
2087,HaT Napoleonic 1815 French Marching (8294),2018,39,24
2088,HaT Seven Years War Austrian Sampler (8295),2019,,33
2089,HaT Napoleonic Early-Mid French Marching (8296),2018,42,24
2090,HaT Napoleonic French Command (8297),2018,43,24
2091,HaT Huns (8298),2014,41,15
2092,HaT 7YW Prussian Infantry Marching (8280),2013,42,40
2093,HaT 7YW Prussian Infantry Action (8281),2013,38,40
2094,HaT 7YW Prussian Infantry Command (8282),2013,47,24
2095,HaT WW2 German Bicycle Infantry (8277),2014,45,12
2096,HaT Colonial Ox Wagon (8286),2019,39,6
2097,HaT Colonial General Service Wagon (8287),2019,45,6
2098,HaT Colonial British Dragoons (8288),2014,44,15
2099,HaT Colonial Bengal Lancers (8289),2014,43,12
2100,HaT WWI German Jäger Bicyclists (8276),2014,44,12
2101,HaT WWI Belgian Heavy Weapons (8291),2018,41,24
2102,HaT British Infantry (Early) (8292),2016,42,32
2103,HaT British Infantry (Tropical) (8293),2016,41,32
2104,Strelets French Line Infantry in Egypt (M068),2011,40,56
2105,Strelets French Light Infantry in Egypt (M069),2011,40,56
2106,Strelets British Line Infantry in Egypt (M070),2011,40,52
2107,Strelets British Light Infantry in Egypt (M071),2011,39,56
2108,Strelets Regular Cavalry RKKA (125),2013,41,12
2109,Strelets Crusader Transport 1 (126),2013,36,13
2110,Strelets French Hussars in Egypt (118),2012,38,13
2111,Strelets British Cavalry (Egypt) (119),2012,43,12
2112,Mars Ukrainian Defenders (72138),2023,43,40
2113,Strelets 1745 British Artillery (284),2023,41,10
2114,Strelets German States' Cuirassiers in Skirmish (268),2023,46,12
2115,BUM Huron's River (2008),2011,44,10
2116,Zvezda Soviet 45-mm Anti-Tank Gun with Crew (6112),2011,,2
2117,Mars Spanish Tertio (72042),2011,30,48
2118,Ykreol WWII German Staff 1939-45 (YK16),2003,,42
2119,Metch Japanese Daihatsu Landing Craft (172172),2011,,3
2120,Metch T-40 Fuel Truck (172138),2011,,6
2121,Caesar British Army (H060),2011,40,33
2122,Caesar WWII Late War German Army (H074),2011,46,34
2123,Caesar WWII Italian Paratroopers (H075),2011,45,33
2124,Caesar German Army with Camouflage Cape (HB04),2011,44,34
2127,Strelets Moroccan Goumiers (M151),2021,43,52
2128,Ultima Ratio WWII Soviet Mountain Troops (UR004),2015,42,33
2129,BUM Western Fort Stable (2113),2013,,3
2130,Waterloo 1815 French Line Voltigeurs at Waterloo (062),2016,39,28
2131,Waterloo 1815 1815 French Line Infantry Fusiliers Marching (061),2016,46,24
2132,Waterloo 1815 Prussian Officers & High Staff 1813-15 (058),2018,44,12
2133,Mars Swedish Infantry (72094),2016,40,48
2134,Metch Operation Jubilee - Dieppe (172143),,,14
2135,"Metch Operation Deathstick, D-Day (172148)",2012,,15
2136,"Metch Arnhem, Bridge House (172150)",2012,,13
2137,Mars Polish Siege Bombard (72062),2013,40,24
2138,Mars French Dismounted Dragoons (72078),2014,34,48
2139,First To Fight Pak 36 German Antitank Gun (PL1939-022),2015,40,6
2140,Strelets Early WWII American Soldiers 2 (M113),2016,37,52
2141,Strelets WWII Japanese Troops in Tropical Uniform (M114),2016,41,52
2142,RedBox Russian War Monks (72086),2015,41,40
2143,RedBox Russian War Monk Artillery (72087),2015,40,20
2144,RedBox Osman Eyalet Infantry 16-17th Century (72088),2016,41,35
2145,RedBox Osman Yeniceri Infantry 16-17th Century (72089),2016,41,34
2146,Caesar WWII German Infantry Marching (H081),2015,48,38
2147,Caesar WWII German Infantry in Smocks - Winter (H083),2015,45,
2148,Caesar WWII German Artillery/Howitzer Crews (H084),2015,47,33
2149,Caesar WWII German Panzer Unit in Combat (H085),2015,42,34
2150,Caesar WWII German Anti-aircraft Crews (H089),2015,48,33
2151,Ultima Ratio Soviet Motorized Infantry Spetsnaz (UR002),2015,39,39
2152,"RedBox European Light Cavalry, 16th Century Set 2 (72085)",2015,40,12
2154,First To Fight German 7.5 cm LE.IG Infantry Gun (PL1939-031),,,
2155,Zvezda Soviet 37 mm Anti-aircraft Gun 61-K (6115),2013,,2
2156,Hasegawa 88mm Gun Flak 18 (31110),1991,36,6
2157,Hasegawa 88mm Gun Flak 36 (31138),1997,,6
2158,Hasegawa U.S. Jeep Willys M.B. Cargo 37mm Gun (31101),1991,22,8
2159,Revell Soviet Spetsnaz (1980) (02533),1988,,50
2160,Linear-B Roman Market (072),2011,46,68
2161,Linear-B Spartacus Uprising (073),2011,32,52
2162,Italeri Japanese M92 Light Howitzer and AT Team (6164),2009,,16
2163,Italeri Cannone da 149/40 with Crew (6165),2009,,9
2164,Revell WWII Japanese Infantry (02528),,,
2165,Revell WWII ANZAC Infantry (02529),,,
2166,Caesar US Paratroopers (H076),2012,43,34
2167,Mars Teutonic Foot Sergeants (72052),2012,20,48
2168,Mars Teutonic Mounted Sergeants (72053),2012,33,12
2169,Mars Teutonic Mounted Crossbowmen (72054),2012,33,12
2170,HaT Napoleonic Prussian Infantry Sampler (8329),2019,,29
2171,Linear-A The Folk of Judea (001),2016,43,44
2172,HaT Napoleonic Mounted Officers (8279),2012,45,12
2173,Linear-B Roman Port (002),2012,38,48
2174,BUM St.Francis Settlement (2013),2012,,15
2175,Linear-B Roman Tavern (003),2012,41,48
2176,Strelets Spartacus Army (M077),2018,43,48
2177,Strelets Roman Republican Legion on the March (M078),2012,44,56
2178,Strelets Roman Republican Legion in Battle (M079),2012,37,48
2179,Strelets Roman Republican Legion Before Battle (M080),2012,42,56
2180,Strelets Italian Army in Winter Dress (Stalingrad) (M082),2012,41,56
2181,Strelets Hungarian Army in Winter Dress (Stalingrad) (M083),2012,42,56
2182,Strelets Crusader Transport 2 (127),2013,37,18
2183,Revell WWII British Commandos (02530),,,
2184,Revell NATO Pilots (Modern) (02402),2012,50,28
2185,Zvezda British Infantry (6166),2012,,5
2186,Zvezda British Machine Gun Crew (6167),2012,,4
2187,Zvezda British 3 Inch Mortar with Crew (6168),2012,,4
2188,First To Fight German Infantry Support Weapons (PL1939-020),2015,41,15
2189,Zvezda German Elite Troops (6180),2014,,5
2190,Zvezda German Medical Personnel (6143),2012,,4
2191,Zvezda German Regular Infantry (6178),2012,,5
