manufacturer,nationality,Recency,Frequency,Magnitude
RedBox,USA,16,5,36.6
Zvezda,Swedish,16,4,45.5
GerMan,British,16,3,38.0
HaT,Swedish,16,3,39.666666666666664
Metch,British,16,2,40.0
Pegasus,French,16,2,48.0
GerMan,Indian,16,1,41.0
Italeri,Goth,16,1,41.0
LW,French,16,1,38.0
Orion,CeltIberian,16,1,33.0
Orion,Cuman,16,1,43.0
Orion,Pecheneg,16,1,43.0
Orion,Portuguese,16,1,33.0
Pobeda,Russian,16,1,37.0
RedBox,Austrian,16,1,37.0
RedBox,Nepalese,16,1,36.0
Airfix,British,15,23,35.130434782608695
Zvezda,French,15,8,45.75
Strelets,Romanian,15,7,38.57142857142857
BUM,USA,15,4,37.75
HaT,Sudanese,15,4,41.25
BUM,British,15,3,40.0
HaT,Canadian,15,2,38.0
Orion,Israeli,15,2,42.5
RedBox,Czech,15,2,39.0
RedBox,Hussite,15,2,39.0
Strelets,Egyptian,15,2,42.5
BUM,Canadian,15,1,35.0
BUM,French,15,1,35.0
Caesar,Israeli,15,1,46.0
Orion,Bohemian,15,1,39.0
Orion,Czech,15,1,39.0
Zvezda,Greek,15,1,47.0
Zvezda,Mongolian,15,1,47.0
Revell,German,14,18,44.666666666666664
Zvezda,Russian,14,17,46.76470588235294
Revell,British,14,12,45.416666666666664
Revell,USA,14,7,45.142857142857146
Waterloo 1815,USA,14,7,41.0
Caesar,Egyptian,14,6,48.0
Revell,French,14,6,46.5
Armourfast,German,14,5,43.8
HaT,Andalusian,14,4,42.75
Plastic Soldier,Russian,14,4,46.5
Caesar,Greek,14,3,45.333333333333336
HaT,Almoravid,14,3,44.0
HaT,Brunswick,14,3,41.666666666666664
HaT,W&uuml;rttemberg,14,3,45.0
Orion,Greek,14,3,39.0
Caesar,Mexican,14,2,45.0
HaT,Moroccan,14,2,44.5
Revell,Italian,14,2,47.5
Caesar,Aztec,14,1,47.0
Caesar,Mycenaean,14,1,49.0
MM,Italian,14,1,46.0
MM,Swiss,14,1,46.0
Revell,Belgian,14,1,50.0
Strelets,Sarmatian,14,1,38.0
Caesar,Italian,13,10,45.2
A Call To Arms,British,13,9,41.111111111111114
Caesar,British,13,7,45.57142857142857
Pegasus,German,13,7,48.0
Pegasus,Russian,13,7,47.42857142857143
HaT,Carthaginian,13,5,39.2
Zvezda,German,13,5,45.6
HaT,Turkish,13,4,43.25
Mars,Teutonic,13,4,31.0
Caesar,Frankish,13,3,46.0
Strelets,Frankish,13,3,37.0
Caesar,Spanish,13,2,45.5
Strelets,Ukrainian,13,2,38.5
Valiant,British,13,2,44.0
Ykreol,French,13,2,37.0
Linear-B,British,13,1,48.0
Linear-B,Celtic,13,1,46.0
Mars,Hungarian,13,1,37.0
Strelets,Estonian,13,1,39.0
Strelets,Latvian,13,1,39.0
Strelets,Lithuanian,13,1,39.0
HaT,Spanish,12,20,41.25
Italeri,German,12,13,40.46153846153846
Linear-B,Italian,12,11,40.45454545454545
Mars,Lithuanian,12,7,34.142857142857146
Emhar,British,12,5,44.2
Mars,Greek,12,4,30.5
Emhar,French,12,3,41.666666666666664
HaT,Indian,12,3,42.0
HaT,Tanzanian,12,2,39.5
Mars,Algerian,12,2,35.5
Mars,Mycenaean,12,2,31.5
Toxso,USA,12,2,41.5
Emhar,Portuguese,12,1,46.0
Emhar,Spanish,12,1,47.0
HaT,Cameroonian,12,1,39.0
HaT,Hun,12,1,41.0
HaT,Japanese,12,1,46.0
